sentence_id,company,year,report_type,sentence_text,llm_label,llm_confidence,llm_top_features,llm_gw_risk,kee_label,kee_confidence,kee_notes,agreement_yn,annotated_at
UNMATCHED_S0001,jsw,2019,BRR,"The following initiatives were carried out during the Our Company continued with its commitment to year: conserve natural resources, reduce emissions • Treatment of sewage and recovering quality and hazardous discharges to the environment water through reverse osmosis plants.",V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,2,,Y,2026-07-16 21:00
UNMATCHED_S0002,jsw,2019,BRR,This has further wastewater after proper treatment.,V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,1,,Y,2026-07-16 21:00
UNMATCHED_S0003,jsw,2019,BRR,"internal roads, thereby reducing road emissions.",V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,1,,Y,2026-07-16 21:00
UNMATCHED_S0004,jsw,2019,BRR,Installation of CO2 injection system in Steel • Procured new road sweeping machine for Melting Shop-1 (SMS) has improved thickener road cleaning purpose to control the fugitive water quality in Vijayanagar further reducing emissions generation.,V,2,quantifier_count=0.00[NONE]; target_year=0.00[NONE]; verb_strength=0.10[NONE],0.5,V,2,,Y,2026-07-16 21:01
S0002,jsw,2019,BRR,Solid waste materials such as sludge and collected dust are generated during the operation of air and water pollution control system.,V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,2,,Y,2026-07-16 21:01
UNMATCHED_S0006,jsw,2019,BRR,"During the year, • Installation of Dry Fog system in Blast Furnace Vijayanagar recycled 89% of the solid waste generated and wagon tippler reduced the fugitive dust in the system.",S,2,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; specific_tech=1.00[blast furnace|vijayanagar],0.267,S,2,,Y,2026-07-16 21:02
UNMATCHED_S0007,jsw,2019,BRR,"Moreover, the utilisation of blast furnace emission which leads to improvement in ambient slag, dust from bag filter and Electrostatic precipitator air quality.",S,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,1,"no numeric data to prove substantive , vague terms without further information for air quality",N,2026-07-16 21:04
UNMATCHED_S0008,jsw,2019,BRR,"In Dolvi, dust emissions during the material during the year was 100%.",?,3,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; verb_strength=0.10[NONE],0.267,V,2,,N,2026-07-16 21:04
S0012,jsw,2019,BRR,Installation of separate DE system for battery emission to reduce fugitive emission and established trash chutes with collection boxes for accumulating spillage and scrap.,?,3,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; specific_tech=0.00[NONE],0.267,S,2,more details for data will be helpful,N,2026-07-16 21:05
S0013,jsw,2019,BRR,Established pneumatic dust conveying and auto bagging for cyclone dust collection to reduce the dust emission during loading and handling.,V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,1,,Y,2026-07-16 21:05
UNMATCHED_S0011,jsw,2019,BRR,"These paver block manufacturing unit from Waste Energy include reducing water use, recycling in less critical Optimising Furnace (EOF) steel slag as part of waste applications and reusing for greenery development utilisation.",V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,1,,Y,2026-07-16 21:06
S0005,jsw,2019,BRR,"Given that integrated iron and steel plants handle large volume of solid materials, emissions of dust remain a major area of concern.",V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,1,,Y,2026-07-16 21:06
UNMATCHED_S0013,jsw,2019,BRR,"During the year, several • CO2 injection system is commissioned at SMS- initiatives were taken to introduce process changes 2 of Vijayanagar.",?,3,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,2,,N,2026-07-16 21:08
UNMATCHED_S0014,jsw,2019,BRR,This not only saves 150m3/day that reduce emissions and strengthen the function of water but also reduces the downtime of GCP Dust Extraction systems.,?,3,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; specific_tech=0.00[NONE],0.267,S,1,,N,2026-07-16 21:09
S0007,jsw,2019,BRR,• 13 new dedusting systems were commissioned to reduce 150 dust sources/transfer point emissions at Vijayanagar plant.,?,3,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,?,2,,Y,2026-07-16 21:10
UNMATCHED_S0016,jsw,2019,BRR,"This mapped the biodiversity interfaces with business has reduced truck movements significantly and operation designated as biodiversity champion, and a reduction of 3.86 kg CO2/t of ore transport is has implemented schemes for enhancing awareness expected.",?,3,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,2,,N,2026-07-16 21:11
S0020,jsw,2020,BRR,FY 2019-20 saw many initiatives to reduce emission and dust.,?,3,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; specific_tech=0.00[NONE],0.267,V,1,,N,2026-07-16 21:12
UNMATCHED_S0018,jsw,2020,BRR,"The Committee of Creditors of ACCIL has approved the Resolution - I n Vijayanagar, Online Continuous Emission Plan submitted by JSWSCPL and issued a Letter of Monitoring Systems (OCEMS) were installed in 71 Intent (“LOI”) dated July 6, 2019, to JSWSCPL.",?,3,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,3,,N,2026-07-16 21:17
UNMATCHED_S0019,jsw,2020,BRR,stacks for measuring 95 parameters that provide accurate and continuous information on particulate The closure of the transaction is subject to obtaining matter or gaseous emission.,V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,1,,Y,2026-07-16 21:17
UNMATCHED_S0020,jsw,2020,BRR,The Resolution - U pgradation of SMS-1 primary and secondary Professional of ACCIL has filed the Resolution Plan fume extraction systems and SMS-2 primary fume before the NCLT for its approval and the same is extraction systems to reduce roof top emission at pending before NCLT.,V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,1,,Y,2026-07-16 21:19
UNMATCHED_S0021,jsw,2020,BRR,"ACCIL manufactures downstream steel products - I nstallation of Maximised Emission Reduction of and has two manufacturing units located at Bawal, Sintering (MEROS) to treat process gases of Sinter Haryana and Khopoli, Maharashtra.",V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,1,,Y,2026-07-16 21:19
UNMATCHED_S0022,jsw,2020,BRR,"Plant 4 at Vijayanagar, which help reduce emissions.",V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,1,,Y,2026-07-16 21:19
S0017,jsw,2020,BRR,"In its commitment to conserve natural resources, reduce emissions and hazardous discharges to the environment and preserve biodiversity, the Company has undertaken extensive planning and investments to reduce long-term environmental impact and risks.",?,3,quantifier_count=0.00[NONE]; target_year=0.00[NONE]; vague_adj_ratio=0.12[long-term],0.471,S,2,numeric data found,N,2026-07-16 21:20
UNMATCHED_S0024,jsw,2020,BRR,"The business has RMHS to reduce fugitive emission during transfer of proactively harnessed innovation, technology adoption raw material from belt conveyor and transfer points.",V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,1,,Y,2026-07-16 21:20
S0024,jsw,2020,BRR,- R MHS open yards in Dolvi were fully covered with conventional/space frame covered shed to prevent dust emission during operation of the yard.,V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,1,,Y,2026-07-16 21:22
